0;0;911,886 
1;6522;334,299 
1;12704;219,499 
1;19371;164,599 
3;21629;608,341 
2;25560;444,353 
2;29513;440,281 
1;35649;220,698 
2;39607;439,274 
2;43577;438,798 
2;47580;436,660 
2;51502;441,680 
2;55428;441,232 
1;61601;218,399 
2;65633;434,951 
2;69687;431,798 
2;73700;433,784 
2;77678;436,598 
2;81698;434,496 
1;87852;219,797 
2;91864;435,584 
2;95869;434,797 
2;99934;429,070 
2;104025;426,180 
2;108104;427,295 
1;114284;217,597 
2;118255;438,174 
2;122262;432,283 
2;126241;435,354 
2;130268;428,597 
2;134399;423,678 
2;138385;434,370 
1;144535;219,197 
2;149579;327,797 
3;151971;593,585 
2;156018;427,682 
2;160081;427,694 
1;166221;219,484 
2;170262;430,084 
2;174326;428,089 
2;178409;426,298 
2;182410;433,698 
2;186509;423,798 
2;190509;433,659 
2;194522;430,496 
1;200857;213,779 
2;204866;422,397 
2;209086;425,091 
2;214293;310,088 
2;218501;411,594 
3;220921;587,757 
2;225244;414,292 
1;231546;204,799 
2;235669;422,081 
2;239657;434,097 
2;243779;422,396 
2;247895;423,155 
2;251923;432,797 
2;256050;424,796 
2;260079;430,799